date,department,day_index,occupancy,er_wait_min,satisfaction,cost_per_discharge,staff_ratio,admissions,readmission_rate,licensed_beds
2026-08-02,Emergency,76,0.9381,62.4,3.52,2048.4,2.18,5,0.1159,40
2026-08-03,Emergency,77,0.8974,63.2,3.57,2140.48,2.25,6,0.1232,40
2026-08-04,Emergency,78,0.8931,62.5,3.56,2114.26,2.21,5,0.1211,40
2026-08-05,Emergency,79,0.9053,64.5,3.58,2170.97,2.25,6,0.1257,40
2026-08-06,Emergency,80,0.9002,63.7,3.57,2141.08,2.2,6,0.1233,40
2026-08-07,Emergency,81,0.8882,61.8,3.55,2076.6,2.12,5,0.1181,40
2026-08-08,Emergency,82,0.9695,67.7,3.55,2178.51,2.2,6,0.1263,40
2026-08-09,Emergency,83,0.938,62.7,3.5,2016.74,2.02,4,0.1133,40
2026-08-10,Emergency,84,0.8717,59.3,3.52,1980.68,1.97,3,0.1105,40
2026-08-11,Emergency,85,0.876,60.0,3.52,1997.51,1.97,4,0.1118,40
2026-08-12,Emergency,86,0.9085,65.3,3.56,2155.59,2.11,6,0.1244,40
2026-08-13,Emergency,87,0.8964,63.4,3.54,2090.47,2.02,5,0.1192,40
2026-08-14,Emergency,88,0.8823,61.1,3.52,2015.32,1.93,4,0.1132,40
2026-08-15,Emergency,89,0.9602,66.4,3.52,2100.26,2.0,5,0.12,40
2026-05-18,ICU,0,0.8626,9.2,4.08,6113.08,1.71,2,0.143,24
2026-05-19,ICU,1,0.892,13.6,4.11,6249.08,1.81,4,0.1583,24
2026-05-20,ICU,2,0.8817,11.6,4.1,6186.54,1.7,3,0.1577,24
2026-05-21,ICU,3,0.8807,11.0,4.09,6170.26,1.64,3,0.1608,24
2026-05-22,ICU,4,0.8789,10.4,4.09,6150.38,1.57,2,0.1636,24
2026-05-23,ICU,5,0.8675,11.8,4.12,6232.57,1.61,3,0.1746,24
2026-05-24,ICU,6,0.8563,9.7,4.1,6165.45,1.5,2,0.1736,24
2026-05-25,ICU,7,0.8748,8.7,4.07,6096.91,1.39,2,0.1726,24
2026-05-26,ICU,8,0.8785,8.9,4.07,6104.5,1.35,2,0.1776,24
2026-05-27,ICU,9,0.9229,15.7,4.13,6315.47,1.52,4,0.1988,24
2026-05-28,ICU,10,0.9224,15.3,4.13,6302.15,1.46,4,0.2022,24
2026-05-29,ICU,11,0.9142,13.6,4.11,6249.93,1.37,4,0.2024,24
2026-05-30,ICU,12,0.8647,8.9,4.1,6141.47,1.21,2,0.1981,24
2026-05-31,ICU,13,0.9021,14.6,4.14,6317.29,1.35,4,0.2166,24
2026-06-01,ICU,14,0.9247,14.2,4.12,6269.69,1.25,4,0.2172,24
2026-06-02,ICU,15,0.9238,13.7,4.12,6254.22,1.19,4,0.2203,24
2026-06-03,ICU,16,0.9127,11.6,4.1,6187.34,1.08,3,0.2194,24
2026-06-04,ICU,17,0.906,10.2,4.08,6143.06,1.0,2,0.2202,24
2026-06-05,ICU,18,0.8994,8.8,4.07,6099.1,0.91,2,0.2211,24
2026-06-06,ICU,19,0.9119,14.0,4.14,6300.65,1.06,4,0.2417,24
2026-06-07,ICU,20,0.8918,10.4,4.11,6188.94,0.91,3,0.2371,24
2026-06-08,ICU,21,0.9113,9.6,4.08,6125.59,0.9,2,0.2364,24
2026-06-09,ICU,22,0.9187,10.4,4.09,6151.49,0.9,3,0.2429,24
2026-06-10,ICU,23,0.9346,12.6,4.11,6219.8,0.9,3,0.2528,24
2026-06-11,ICU,24,0.9166,9.4,4.08,6119.19,0.9,2,0.2491,24
2026-06-12,ICU,25,0.9528,14.9,4.12,6289.15,0.9,4,0.2671,24
2026-06-13,ICU,26,0.9201,12.9,4.13,6264.63,0.9,4,0.2696,24
2026-06-14,ICU,27,0.9204,12.6,4.13,6254.87,0.9,4,0.2732,24
2026-06-15,ICU,28,0.9382,11.5,4.1,6183.02,0.9,3,0.2718,24
2026-06-16,ICU,29,0.9502,13.0,4.11,6231.83,0.9,4,0.2801,24
2026-06-17,ICU,30,0.9502,12.7,4.11,6221.02,0.9,3,0.2837,24
2026-06-18,ICU,31,0.9557,13.2,4.11,6237.46,0.9,4,0.2894,24
2026-06-19,ICU,32,0.9296,8.7,4.07,6096.11,0.9,2,0.2825,24
2026-06-20,ICU,33,0.9184,10.1,4.11,6178.95,0.9,3,0.2935,24
2026-06-21,ICU,34,0.9019,7.1,4.08,6085.4,0.9,2,0.2904,24
2026-06-22,ICU,35,0.9567,12.0,4.1,6198.5,0.9,3,0.3,24
2026-06-23,ICU,36,0.9507,10.6,4.09,6157.47,0.9,3,0.3,24
2026-06-24,ICU,37,0.9436,9.2,4.08,6111.13,0.9,2,0.3,24
2026-06-25,ICU,38,0.9438,8.8,4.07,6100.85,0.9,2,0.3,24
2026-06-26,ICU,39,0.9702,12.7,4.11,6221.91,0.9,4,0.3,24
2026-06-27,ICU,40,0.9215,8.2,4.09,6117.65,0.9,2,0.3,24
2026-06-28,ICU,41,0.9615,14.2,4.14,6306.28,0.9,5,0.3,24
2026-06-29,ICU,42,0.9765,12.6,4.11,6220.27,0.9,4,0.3,24
2026-06-30,ICU,43,0.9669,10.8,4.09,6161.72,0.9,3,0.3,24
2026-07-01,ICU,44,0.9813,12.7,4.11,6222.73,0.9,4,0.3,24
2026-07-02,ICU,45,0.9551,8.2,4.07,6080.7,0.9,2,0.3,24
2026-07-03,ICU,46,0.99,15.7,4.13,6314.64,0.9,5,0.3,24
2026-07-04,ICU,47,0.9525,10.7,4.11,6195.58,0.9,3,0.3,24
2026-07-05,ICU,48,0.9697,13.1,4.13,6270.68,0.9,4,0.3,24
2026-07-06,ICU,49,0.9669,8.7,4.07,6095.68,0.9,2,0.3,24
2026-07-07,ICU,50,0.9893,11.9,4.1,6196.66,0.9,3,0.3,24
2026-07-08,ICU,51,0.99,11.9,4.1,6197.68,0.9,3,0.3,24
2026-07-09,ICU,52,0.99,15.5,4.13,6309.46,0.9,5,0.3,24
2026-07-10,ICU,53,0.99,12.6,4.11,6217.93,0.9,4,0.3,24
2026-07-11,ICU,54,0.9675,10.6,4.11,6193.37,0.9,3,0.3,24
2026-07-12,ICU,55,0.9593,8.9,4.1,6141.74,0.9,3,0.3,24
2026-07-13,ICU,56,0.99,10.7,4.09,6157.89,0.9,3,0.3,24
2026-07-14,ICU,57,0.99,12.2,4.1,6205.17,0.9,3,0.3,24
2026-07-15,ICU,58,0.99,11.5,4.1,6184.73,0.9,3,0.3,24
2026-07-16,ICU,59,0.9859,8.2,4.07,6080.4,0.9,2,0.3,24
2026-07-17,ICU,60,0.99,14.6,4.12,6281.57,0.9,4,0.3,24
2026-07-18,ICU,61,0.99,14.0,4.14,6299.04,0.9,5,0.3,24
2026-07-19,ICU,62,0.9684,7.9,4.09,6110.06,0.9,2,0.3,24
2026-07-20,ICU,63,0.99,12.4,4.1,6213.51,0.9,3,0.3,24
2026-07-21,ICU,64,0.99,8.9,4.07,6102.14,0.9,2,0.3,24
2026-07-22,ICU,65,0.99,13.4,4.11,6243.06,0.9,4,0.3,24
2026-07-23,ICU,66,0.99,10.2,4.08,6145.31,0.9,3,0.3,24
2026-07-24,ICU,67,0.99,13.3,4.11,6239.86,0.9,4,0.3,24
2026-07-25,ICU,68,0.99,12.6,4.13,6256.75,0.9,4,0.3,24
2026-07-26,ICU,69,0.99,12.9,4.13,6267.16,0.9,4,0.3,24
2026-07-27,ICU,70,0.99,8.9,4.07,6101.94,0.9,2,0.3,24
2026-07-28,ICU,71,0.99,15.3,4.13,6304.0,0.9,5,0.3,24
2026-07-29,ICU,72,0.99,9.8,4.08,6132.55,0.9,3,0.3,24
2026-07-30,ICU,73,0.99,8.3,4.07,6084.35,0.9,2,0.3,24
2026-07-31,ICU,74,0.99,12.4,4.1,6213.71,0.9,3,0.3,24
2026-08-01,ICU,75,0.99,9.8,4.1,6167.73,0.9,3,0.3,24
2026-08-02,ICU,76,0.99,13.4,4.14,6282.45,0.9,4,0.3,24
2026-08-03,ICU,77,0.99,14.5,4.12,6277.06,0.9,4,0.3,24
2026-08-04,ICU,78,0.99,10.5,4.09,6154.28,0.9,3,0.3,24
2026-08-05,ICU,79,0.99,15.6,4.13,6313.22,0.9,5,0.3,24
2026-08-06,ICU,80,0.99,10.3,4.09,6147.73,0.9,3,0.3,24
2026-08-07,ICU,81,0.99,12.1,4.1,6203.76,0.9,3,0.3,24
2026-08-08,ICU,82,0.99,8.8,4.09,6138.99,0.9,3,0.3,24
2026-08-09,ICU,83,0.99,14.3,4.14,6309.01,0.9,5,0.3,24
2026-08-10,ICU,84,0.99,9.3,4.08,6116.15,0.9,2,0.3,24
2026-08-11,ICU,85,0.99,8.4,4.07,6086.23,0.9,2,0.3,24
2026-08-12,ICU,86,0.99,11.5,4.1,6183.77,0.9,3,0.3,24
2026-08-13,ICU,87,0.99,15.9,4.13,6323.09,0.9,5,0.3,24
2026-08-14,ICU,88,0.99,15.1,4.13,6297.92,0.9,5,0.3,24
2026-08-15,ICU,89,0.99,12.8,4.13,6262.15,0.9,4,0.3,24
2026-05-18,Cardiology,0,0.7295,28.1,4.23,4397.7,3.0,4,0.1178,30
2026-05-19,Cardiology,1,0.7297,28.1,4.23,4398.36,3.0,4,0.1179,30
2026-05-20,Cardiology,2,0.7109,25.2,4.2,4304.71,2.9,3,0.1104,30
2026-05-21,Cardiology,3,0.7008,23.5,4.19,4253.98,2.85,2,0.1063,30
2026-05-22,Cardiology,4,0.7236,27.2,4.22,4368.0,2.97,4,0.1154,30
2026-05-23,Cardiology,5,0.6881,25.1,4.22,4340.42,2.94,3,0.1132,30
2026-05-24,Cardiology,6,0.6737,22.8,4.2,4268.41,2.87,2,0.1075,30
2026-05-25,Cardiology,7,0.6897,21.8,4.17,4198.62,2.8,2,0.1019,30
2026-05-26,Cardiology,8,0.7223,27.0,4.22,4361.7,2.96,4,0.1149,30
2026-05-27,Cardiology,9,0.6981,23.1,4.18,4240.62,2.84,2,0.1052,30
2026-05-28,Cardiology,10,0.7318,28.5,4.23,4409.2,3.01,4,0.1187,30
2026-05-29,Cardiology,11,0.697,22.9,4.18,4235.24,2.84,2,0.1048,30
2026-05-30,Cardiology,12,0.6611,20.8,4.19,4205.69,2.81,2,0.1025,30
2026-05-31,Cardiology,13,0.6966,26.4,4.24,4382.78,2.98,4,0.1166,30
2026-06-01,Cardiology,14,0.6927,22.2,4.18,4213.32,2.81,2,0.1031,30
2026-06-02,Cardiology,15,0.694,22.4,4.18,4219.82,2.82,2,0.1036,30
2026-06-03,Cardiology,16,0.715,25.8,4.21,4324.85,2.92,3,0.112,30
2026-06-04,Cardiology,17,0.7287,28.0,4.23,4393.64,2.99,4,0.1175,30
2026-06-05,Cardiology,18,0.6948,22.6,4.18,4224.11,2.82,2,0.1039,30
2026-06-06,Cardiology,19,0.6705,22.3,4.2,4252.58,2.85,2,0.1062,30
2026-06-07,Cardiology,20,0.6939,26.0,4.23,4369.35,2.97,4,0.1155,30
2026-06-08,Cardiology,21,0.7336,28.8,4.23,4417.96,3.02,4,0.1194,30
2026-06-09,Cardiology,22,0.71,25.0,4.2,4300.19,2.9,3,0.11,30
2026-06-10,Cardiology,23,0.6922,22.2,4.18,4210.97,2.81,2,0.1029,30
2026-06-11,Cardiology,24,0.6857,21.1,4.17,4178.48,2.78,2,0.1003,30
2026-06-12,Cardiology,25,0.6965,22.8,4.18,4232.41,2.83,2,0.1046,30
2026-06-13,Cardiology,26,0.6616,20.9,4.19,4207.96,2.81,2,0.1026,30
2026-06-14,Cardiology,27,0.6889,25.2,4.22,4344.41,2.94,3,0.1136,30
2026-06-15,Cardiology,28,0.6911,22.0,4.17,4205.46,2.81,2,0.1024,30
2026-06-16,Cardiology,29,0.7103,25.1,4.2,4301.58,2.9,3,0.1101,30
2026-06-17,Cardiology,30,0.7197,26.6,4.21,4348.57,2.95,4,0.1139,30
2026-06-18,Cardiology,31,0.7141,25.6,4.21,4320.28,2.92,3,0.1116,30
2026-06-19,Cardiology,32,0.695,22.6,4.18,4224.94,2.82,2,0.104,30
2026-06-20,Cardiology,33,0.6952,26.2,4.23,4376.03,2.98,4,0.1161,30
2026-06-21,Cardiology,34,0.6908,25.5,4.23,4353.85,2.95,4,0.1143,30
2026-06-22,Cardiology,35,0.7219,26.9,4.22,4359.75,2.96,4,0.1148,30
2026-06-23,Cardiology,36,0.6916,22.0,4.17,4207.76,2.81,2,0.1026,30
2026-06-24,Cardiology,37,0.6912,22.0,4.17,4205.94,2.81,2,0.1025,30
2026-06-25,Cardiology,38,0.7314,28.4,4.23,4406.89,3.01,4,0.1186,30
2026-06-26,Cardiology,39,0.7049,24.2,4.19,4274.39,2.87,3,0.108,30
2026-06-27,Cardiology,40,0.67,22.2,4.2,4250.24,2.85,2,0.106,30
2026-06-28,Cardiology,41,0.6794,23.7,4.21,4297.15,2.9,3,0.1098,30
2026-06-29,Cardiology,42,0.7181,26.3,4.21,4340.72,2.94,4,0.1133,30
2026-06-30,Cardiology,43,0.7328,28.6,4.23,4413.91,3.01,4,0.1191,30
2026-07-01,Cardiology,44,0.6993,23.3,4.19,4246.61,2.85,2,0.1057,30
2026-07-02,Cardiology,45,0.7312,28.4,4.23,4406.2,3.01,4,0.1185,30
2026-07-03,Cardiology,46,0.6862,21.2,4.17,4181.21,2.78,2,0.1005,30
2026-07-04,Cardiology,47,0.6828,24.2,4.22,4313.8,2.91,3,0.1111,30
2026-07-05,Cardiology,48,0.6867,24.9,4.22,4333.49,2.93,3,0.1127,30
2026-07-06,Cardiology,49,0.6903,21.8,4.17,4201.47,2.8,2,0.1021,30
2026-07-07,Cardiology,50,0.692,22.1,4.17,4210.08,2.81,2,0.1028,30
2026-07-08,Cardiology,51,0.706,24.4,4.19,4279.78,2.88,3,0.1084,30
2026-07-09,Cardiology,52,0.7333,28.7,4.23,4416.56,3.02,4,0.1193,30
2026-07-10,Cardiology,53,0.7148,25.8,4.21,4324.01,2.92,3,0.1119,30
2026-07-11,Cardiology,54,0.7017,27.3,4.24,4408.26,3.01,4,0.1187,30
2026-07-12,Cardiology,55,0.6952,26.2,4.23,4376.09,2.98,4,0.1161,30
2026-07-13,Cardiology,56,0.7084,24.7,4.2,4291.85,2.89,3,0.1093,30
2026-07-14,Cardiology,57,0.7242,27.3,4.22,4371.19,2.97,4,0.1157,30
2026-07-15,Cardiology,58,0.6859,21.1,4.17,4179.46,2.78,2,0.1004,30
2026-07-16,Cardiology,59,0.6905,21.9,4.17,4202.29,2.8,2,0.1022,30
2026-07-17,Cardiology,60,0.7265,27.6,4.22,4382.36,2.98,4,0.1166,30
2026-07-18,Cardiology,61,0.6948,26.2,4.23,4374.2,2.97,4,0.1159,30
2026-07-19,Cardiology,62,0.6666,21.7,4.19,4233.16,2.83,2,0.1047,30
2026-07-20,Cardiology,63,0.7115,25.2,4.2,4307.69,2.91,3,0.1106,30
2026-07-21,Cardiology,64,0.7153,25.8,4.21,4326.5,2.93,3,0.1121,30
2026-07-22,Cardiology,65,0.7284,27.9,4.23,4391.93,2.99,4,0.1174,30
2026-07-23,Cardiology,66,0.7152,25.8,4.21,4325.78,2.93,3,0.1121,30
2026-07-24,Cardiology,67,0.7056,24.3,4.19,4278.14,2.88,3,0.1083,30
2026-07-25,Cardiology,68,0.6737,22.8,4.2,4268.55,2.87,2,0.1075,30
2026-07-26,Cardiology,69,0.6763,23.2,4.21,4281.47,2.88,3,0.1085,30
2026-07-27,Cardiology,70,0.7176,26.2,4.21,4337.98,2.94,3,0.113,30
2026-07-28,Cardiology,71,0.7284,27.9,4.23,4391.87,2.99,4,0.1173,30
2026-07-29,Cardiology,72,0.7077,24.6,4.2,4288.47,2.89,3,0.1091,30
2026-07-30,Cardiology,73,0.6974,23.0,4.18,4236.96,2.84,2,0.105,30
2026-07-31,Cardiology,74,0.6968,22.9,4.18,4234.17,2.83,2,0.1047,30
2026-08-01,Cardiology,75,0.6923,25.8,4.23,4361.5,2.96,4,0.1149,30
2026-08-02,Cardiology,76,0.6958,26.3,4.23,4379.14,2.98,4,0.1163,30
2026-08-03,Cardiology,77,0.6903,21.8,4.17,4201.32,2.8,2,0.1021,30
2026-08-04,Cardiology,78,0.6883,21.5,4.17,4191.64,2.79,2,0.1013,30
2026-08-05,Cardiology,79,0.7147,25.8,4.21,4323.61,2.92,3,0.1119,30
2026-08-06,Cardiology,80,0.6923,22.2,4.18,4211.54,2.81,2,0.1029,30
2026-08-07,Cardiology,81,0.7262,27.6,4.22,4381.17,2.98,4,0.1165,30
2026-08-08,Cardiology,82,0.6705,22.3,4.2,4252.58,2.85,2,0.1062,30
2026-08-09,Cardiology,83,0.6622,21.0,4.19,4210.97,2.81,2,0.1029,30
2026-08-10,Cardiology,84,0.731,28.4,4.23,4405.24,3.01,4,0.1184,30
2026-08-11,Cardiology,85,0.6933,22.3,4.18,4216.38,2.82,2,0.1033,30
2026-08-12,Cardiology,86,0.6992,23.3,4.18,4246.18,2.85,2,0.1057,30
2026-08-13,Cardiology,87,0.6927,22.2,4.18,4213.4,2.81,2,0.1031,30
2026-08-14,Cardiology,88,0.6908,21.9,4.17,4203.87,2.8,2,0.1023,30
2026-08-15,Cardiology,89,0.6561,20.0,4.18,4180.29,2.78,2,0.1004,30
2026-05-18,Orthopedics,0,0.6178,16.4,4.37,3488.85,3.19,2,0.0611,26
2026-05-19,Orthopedics,1,0.6237,17.4,4.38,3518.66,3.22,2,0.0635,26
2026-05-20,Orthopedics,2,0.6177,16.4,4.37,3488.35,3.19,2,0.0611,26
2026-05-21,Orthopedics,3,0.6446,20.7,4.41,3622.79,3.32,3,0.0718,26
2026-05-22,Orthopedics,4,0.649,21.4,4.41,3645.18,3.35,3,0.0736,26
2026-05-23,Orthopedics,5,0.6047,17.9,4.4,3573.41,3.27,2,0.0679,26
2026-05-24,Orthopedics,6,0.6009,17.3,4.4,3554.5,3.25,2,0.0664,26
2026-05-25,Orthopedics,7,0.6402,20.0,4.4,3601.13,3.3,2,0.0701,26
2026-05-26,Orthopedics,8,0.6588,23.0,4.43,3693.75,3.39,4,0.0775,26
2026-05-27,Orthopedics,9,0.6576,22.8,4.42,3687.78,3.39,3,0.077,26
2026-05-28,Orthopedics,10,0.6172,16.3,4.37,3485.87,3.19,2,0.0609,26
2026-05-29,Orthopedics,11,0.6241,17.5,4.38,3520.37,3.22,2,0.0636,26
2026-05-30,Orthopedics,12,0.5968,16.7,4.39,3534.19,3.23,2,0.0647,26
2026-05-31,Orthopedics,13,0.5975,16.8,4.39,3537.35,3.24,2,0.065,26
2026-06-01,Orthopedics,14,0.6436,20.6,4.4,3617.81,3.32,3,0.0714,26
2026-06-02,Orthopedics,15,0.6358,19.3,4.39,3579.07,3.28,2,0.0683,26
2026-06-03,Orthopedics,16,0.6175,16.4,4.37,3487.31,3.19,2,0.061,26
2026-06-04,Orthopedics,17,0.6337,19.0,4.39,3568.4,3.27,2,0.0675,26
2026-06-05,Orthopedics,18,0.6412,20.2,4.4,3605.94,3.31,2,0.0705,26
2026-06-06,Orthopedics,19,0.5901,15.6,4.38,3500.42,3.2,2,0.062,26
2026-06-07,Orthopedics,20,0.6267,21.5,4.44,3683.36,3.38,3,0.0767,26
2026-06-08,Orthopedics,21,0.6176,16.4,4.37,3487.99,3.19,2,0.061,26
2026-06-09,Orthopedics,22,0.6612,23.4,4.43,3706.21,3.41,4,0.0785,26
2026-06-10,Orthopedics,23,0.62,16.8,4.37,3499.78,3.2,2,0.062,26
2026-06-11,Orthopedics,24,0.6572,22.7,4.42,3685.89,3.39,3,0.0769,26
2026-06-12,Orthopedics,25,0.6601,23.2,4.43,3700.66,3.4,4,0.0781,26
2026-06-13,Orthopedics,26,0.634,22.6,4.45,3719.89,3.42,4,0.0796,26
2026-06-14,Orthopedics,27,0.6251,21.2,4.43,3675.51,3.38,3,0.076,26
2026-06-15,Orthopedics,28,0.654,22.2,4.42,3669.87,3.37,3,0.0756,26
2026-06-16,Orthopedics,29,0.6471,21.1,4.41,3635.62,3.34,3,0.0728,26
2026-06-17,Orthopedics,30,0.6539,22.2,4.42,3669.75,3.37,3,0.0756,26
2026-06-18,Orthopedics,31,0.6217,17.1,4.37,3508.64,3.21,2,0.0627,26
2026-06-19,Orthopedics,32,0.6418,20.3,4.4,3609.02,3.31,2,0.0707,26
2026-06-20,Orthopedics,33,0.6107,18.9,4.41,3603.56,3.3,2,0.0703,26
2026-06-21,Orthopedics,34,0.6279,21.7,4.44,3689.39,3.39,3,0.0772,26
2026-06-22,Orthopedics,35,0.6381,19.7,4.4,3590.7,3.29,2,0.0693,26
2026-06-23,Orthopedics,36,0.6343,19.1,4.39,3571.27,3.27,2,0.0677,26
2026-06-24,Orthopedics,37,0.647,21.1,4.41,3634.89,3.33,3,0.0728,26
2026-06-25,Orthopedics,38,0.6283,18.1,4.38,3541.62,3.24,2,0.0653,26
